id,size,annualized,prop_dt,prop_large,prop_retail,prop_insider,share
000719,377.94,4.23%,2017-06-30,1.39%,98.61%,0.02%,160.84
000720,0.44,0.71%,2017-06-30,---,100.00%,0.00%,2.00
000721,16.35,3.72%,2017-06-30,0.80%,99.20%,0.04%,19.67
000722,117.34,3.96%,2017-06-30,99.89%,0.11%,0.00%,191.94
000723,0.60,0.88%,2017-06-30,71.65%,28.35%,0.00%,0.64
000724,0.70,4.01%,2017-06-30,4.77%,95.23%,2.32%,0.11
000725,405.16,4.26%,2017-06-30,99.95%,0.05%,0.00%,201.79
000726,69.19,4.11%,2017-06-30,0.27%,99.73%,0.04%,43.38
000727,1.05,-12.86%,2017-06-30,0.03%,99.97%,0.00%,1.19
000728,4.47,-0.44%,2017-06-30,61.61%,38.39%,0.01%,17.24
000729,2.46,2.09%,2017-06-30,0.00%,100.00%,0.26%,1.92
000730,194.75,4.06%,2017-06-30,0.53%,99.47%,0.18%,60.59
000734,1.38,3.54%,2017-06-30,29.16%,70.84%,0.23%,1.85
000735,20.80,3.79%,2017-06-30,99.07%,0.93%,0.00%,64.62
000736,3.59,1.31%,2017-06-30,98.23%,1.77%,0.00%,14.90
000737,0.11,0.76%,2017-06-30,0.00%,100.00%,0.00%,0.18
000738,0.13,3.37%,2017-06-30,88.50%,11.50%,0.04%,0.67
000739,0.68,11.40%,2017-06-30,0.00%,100.00%,0.09%,0.62
000740,63.58,3.78%,2017-06-30,100.00%,---,0.00%,60.26
000741,0.17,3.57%,2017-06-30,21.55%,78.45%,0.00%,0.18
000742,41.96,38.29%,2017-06-30,88.02%,11.98%,0.01%,8.60
000743,2.09,-0.35%,2017-06-30,96.68%,3.32%,0.00%,1.85
000744,5.41,4.90%,2017-06-30,95.20%,4.80%,0.03%,2.30
000745,5.41,4.63%,2017-06-30,88.83%,11.17%,0.01%,3.21
000746,5.04,24.40%,2017-06-30,2.93%,97.07%,0.06%,3.13
000747,0.94,1.36%,2017-06-30,0.00%,100.00%,4.22%,0.74
000748,17.63,4.39%,2017-06-30,0.46%,99.54%,0.00%,4.22
000750,1.01,3.82%,2017-06-30,1.61%,98.39%,0.08%,1.58
000751,9.35,34.21%,2017-06-30,18.06%,81.94%,0.04%,2.11
000753,1.76,4.11%,2017-06-30,71.98%,28.02%,0.62%,3.35
000754,5.10,3.69%,2017-06-30,59.66%,40.34%,0.57%,3.24
000755,2.46,2.94%,2017-06-30,15.11%,84.89%,0.00%,0.51
000756,0.96,10.17%,2017-06-30,5.36%,94.64%,0.05%,0.80
000757,1.10,-11.17%,2017-06-30,3.53%,96.47%,0.04%,1.42
000758,196.69,4.25%,2017-06-30,5.93%,94.07%,0.35%,4.11
000759,318.71,4.32%,2017-06-30,79.25%,20.75%,0.01%,224.21
000760,9.87,3.68%,2017-06-30,25.55%,74.45%,0.00%,10.13
000761,0.14,7.26%,2017-06-30,---,100.00%,1.31%,0.15
000762,3.19,--,2017-06-30,14.57%,85.43%,0.22%,4.93
000763,9.67,2.59%,2017-06-30,43.26%,56.74%,0.06%,12.02
000764,2.38,3.85%,2017-06-30,0.01%,99.99%,0.00%,1.75
000765,0.00,2.66%,2017-06-30,98.27%,1.73%,0.00%,2.00
000766,0.00,2.15%,2017-06-30,---,100.00%,0.00%,0.03
